name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Ryan Crocker,0,0,512,scumandvillainy,198,28,9,7,8,0,0,4,2,3.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z88XWW79W9WWWY93XWWY81XW112WWW317WWW151Y85X124W137WWWW70WW&sn=Ryan%20Crocker%20JTO&obs=
Joshua Bray,0,0,512,scumandvillainy,196,26,8,6,3,0,0,3,4,4.333333333333333,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z105XW10WW63WWWW161WY147XWWWWY90XWWWWWWW&sn=Joshua%20Bray%20JTO&obs=
Alex Smittle ,0,0,512,galacticempire,199,30,7,4,4,0,0,3,1,4.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z193XWW102WWWWWY396XWWWWWWWWY173XW240W100W105&sn=Alex%20Smittle%20JTO&obs=
Jamie Bruce,0,0,512,galacticempire,200,26,10,8,3,0,0,4,0,3.25,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z188XWWWWWY195X128WW12WY207XWWWWWWWY183XW60WW&sn=Jamie%20Bruce%20JTO&obs=
Will Frost,0,0,512,firstorder,198,23,10,10,2,0,0,4,2,3.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XWWY285XWW101WWWY383XWWWY243XWWWWW165&sn=Will%20Frost%20JTO&obs=
Brandon Carey,0,0,512,scumandvillainy,200,24,9,9,7,0,0,4,0,2.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z152XWWW54W32WW94W106WY114XW71WWWW156Y304XY138XW232&sn=Brandon%20Carey%20JTO&obs=
Alejandro Sparano,0,0,512,rebelalliance,199,26,8,3,10,1,7,3,8,3.0,https://launch-bay-next.herokuapp.com/print?lbx='Jank%20Tank%20Open'.199.1.0.(17.25.(5.263)).(31.68.(8.311).(16.278).(14.302).(1.381)).(30.63.(8.310).(12.591).(16.320).(6.266).(5.263))
Michael King,0,0,512,galacticrepublic,195,24,9,4,11,1,1,3,6,3.0,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z340X133W134WW227W4W236Y341X134WWW214W166Y275XW2W201W105&sn=Michael%20King%20JTO&obs=gascloud4,gascloud5,gascloud6"
Marc de Bruyn,0,0,512,galacticempire,199,24,7,6,9,1,0,3,1,4.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z191X113W135WWWW317WW165Y162XW240W234WWW144WY197XW112W12W&sn=Marc%20de%20Bruyn%20JTO&obs=
PoultryBane,0,0,512,galacticempire,195,19,9,10,12,0,0,4,5,2.5,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163X132W113W234W99W104W144W232Y226X105Y213X82W316W166Y175XW240WW&sn=Gary%20Ball%20(PoultryBane)%20JTO&obs=coreasteroid0,coreasteroid1,coreasteroid2"
The Eagle,0,0,512,galacticempire,199,22,10,9,8,0,0,4,1,4.0,
Plammi,0,0,512,firstorder,193,18,8,8,8,0,0,3,7,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259X206W100W182WW109Y284X117WW136WY283X122W186WW&sn=Plammi%20JTO&obs=
DukeofHobbies,0,0,512,galacticrepublic,198,23,9,8,5,0,0,4,2,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z322X116WW2WY332XW111W2WY341XWWWWY275XW252WW&sn=Nick%20Yurko%20JTO&obs=
BobbyMoose,0,0,512,firstorder,197,25,10,13,7,1,2,5,5,2.4,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z261XWY385X126WWW88W240W166Y263XW206W165Y259XWW182WWY265XW&sn=Vincent%20Hamelin%20JTO&obs=
Shaun Pretorius,0,0,512,firstorder,198,22,9,6,10,0,0,3,2,4.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z382X118W186W311W166Y282XW202W183W37W30WW113WY285XWWW182WW&sn=Shaun%20Pretorius%20JTO&obs=
Simon Heath,0,0,512,rebelalliance,198,23,8,5,8,0,0,3,2,4.0,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z78XW234W30W81W7WY22XW112WWWY26XW138WWWW69W88&sn=Simon%20Heath%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
