listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
bgFish#1,scumandvillainy,25,10,8,5,0,0,4,3.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z149XW111W134W165W163WY131XWWWWWY398X123WWWY140XWWWWW&sn=Random%20Squad&obs=
bgFish#2,rebelalliance,25,8,3,13,1,3,3,3.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z79X133W135W59WW3W110Y75X119W112W13WW135W249W313Y27XW137WWWWW77&sn=Random%20Squad&obs=
Bibi#1,firstorder,20,10,10,2,0,0,4,4.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z285X119WWWWWY383X123WWWY382XWWWY243XWWWWW&sn=Random%20Squad&obs=
Bibi#2,separatistalliance,20,11,9,5,0,0,4,3.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z307X220WW229Y357X248WY305XWWWY279XW208W165&sn=Random%20Squad&obs=
Bigfoot#1,galacticempire,31,9,7,6,2,9,4,2.25,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z216XWWW53W88W316WWY188XWW102WW86WY206XWWWWWWY171XWW100&sn=Random%20Squad&obs=
Bigfoot#2,galacticrepublic,19,9,10,6,1,1,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z277X74W233WWY277X73WW201W211Y274XW6WWY332XWWW&sn=Random%20Squad&obs=
Biggsy#1,resistance,25,8,8,10,1,1,4,3.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X126WW2WWW108W315Y387X131WWWY379XW188WWW164WY346XWW136W54WWW105&sn=Random%20Squad&obs=
Biggsy#2,firstorder,28,10,8,3,1,8,4,4.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242XWWW76WW166Y243XWWWWW106Y266XWWY288XWWWWWWW&sn=Random%20Squad&obs=
BittyBumbo#1,scumandvillainy,27,10,7,12,0,0,4,3.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z133XW247WY145X127WW20W80WW317WWY144XW137WW86W71W70W110W149WW8Y158XWWW&sn=Random%20Squad&obs=
BittyBumbo#2,rebelalliance,26,9,5,10,0,0,3,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z1X135W0WW142Y1XWW164W142Y393X251W99WWW54W109W108W&sn=Random%20Squad&obs=
